Height,Shag,Little_Gull,Atlantic_Puffin,Black_Throated_Diver,Common_Tern,Northern_Fulmar,Lesser_Black_Backed_Gull,Herring_Gull,Arctic_Tern,Little_Auk,Black_Headed_Gull,Great_Black_backed_Gull,Sandwich_Tern,Arctic_Skua,Great_Skua,Common_Gull,Manx_Shearwater,Northern_Gannet,Black_legged_Kittiwake,Common_Guillemot,Razorbill
74,7.60E-07,5.96E-06,9.78E-08,1.48E-05,3.53E-05,3.55E-06,0.000318006,0.000530385,3.90E-10,2.98E-05,0.000262155,0.00059964,2.04E-11,1.40E-06,6.59E-05,0.000180168,1.20E-41,3.61E-14,1.56E-05,1.61E-14,2.18E-05
75,6.68E-07,3.97E-06,6.12E-08,1.70E-05,3.44E-05,2.41E-06,0.000314887,0.000511905,2.18E-10,2.83E-05,0.00026697,0.000558596,1.16E-11,1.35E-06,6.48E-05,0.000177378,2.03E-41,5.98E-14,1.33E-05,2.50E-14,2.23E-05
76,5.88E-07,2.76E-06,3.98E-08,1.60E-05,3.36E-05,1.56E-06,0.000309126,0.000494273,1.18E-10,2.85E-05,0.000267835,0.000520746,6.60E-12,1.35E-06,6.52E-05,0.000177954,3.62E-41,1.06E-13,1.14E-05,4.04E-14,2.72E-05
77,5.20E-07,1.93E-06,2.61E-08,1.27E-05,3.30E-05,1.01E-06,0.000302791,0.000486313,6.18E-11,3.90E-05,0.0002749,0.000484014,3.78E-12,1.35E-06,6.20E-05,0.000184074,7.00E-41,2.00E-13,9.65E-06,6.75E-14,3.23E-05
78,4.62E-07,1.25E-06,1.67E-08,1.29E-05,3.31E-05,6.36E-07,0.000301086,0.000473132,3.23E-11,3.32E-05,0.000283211,0.000451537,2.18E-12,1.34E-06,6.23E-05,0.000186121,1.47E-40,3.99E-13,8.19E-06,1.17E-13,3.68E-05
79,4.12E-07,7.80E-07,9.66E-09,1.17E-05,3.27E-05,4.21E-07,0.000301269,0.000469121,1.53E-11,2.97E-05,0.000300885,0.000432768,1.26E-12,1.31E-06,6.00E-05,0.000193681,3.60E-40,8.39E-13,6.94E-06,2.07E-13,3.75E-05
80,3.68E-07,5.25E-07,5.83E-09,1.16E-05,3.41E-05,2.62E-07,0.000296066,0.000467056,7.77E-12,2.53E-05,0.000309151,0.000415143,7.39E-13,1.38E-06,5.92E-05,0.000198652,9.80E-40,1.85E-12,5.88E-06,3.79E-13,3.73E-05
81,3.31E-07,2.96E-07,3.18E-09,6.35E-06,3.32E-05,1.52E-07,0.000295918,0.000464798,3.82E-12,1.08E-05,0.000327327,0.000384711,4.36E-13,1.54E-06,6.13E-05,0.00020901,2.72E-39,4.24E-12,4.98E-06,7.10E-13,4.82E-05
82,2.98E-07,1.84E-07,1.69E-09,5.20E-06,3.34E-05,7.99E-08,0.00029758,0.000460273,1.99E-12,9.24E-06,0.000338167,0.000362629,2.60E-13,1.68E-06,6.93E-05,0.000221299,7.56E-39,1.01E-11,4.22E-06,1.36E-12,5.58E-05
83,2.70E-07,1.23E-07,8.32E-10,4.83E-06,3.26E-05,4.00E-08,0.000298234,0.000458195,1.15E-12,1.01E-05,0.000343429,0.000356707,1.53E-13,1.97E-06,7.55E-05,0.000232364,2.22E-38,2.48E-11,3.57E-06,2.66E-12,6.34E-05
